
# CAT Stock - Sorted by Distance from 150-Day SMA

## Most Below SMA (Bottom 20)

| Rank | Date | Price | 150-Day SMA | Distance ($) | Distance (%) |
| 9 | 2025-11-05 | $569.15 | $406.66 | +$162.49 | +39.96% |
| 10 | 2026-02-06 | $726.20 | $518.97 | +$207.23 | +39.93% |
| 11 | 2026-02-06 | $726.20 | $518.97 | +$207.23 | +39.93% |
| 12 | 2025-10-16 | $540.96 | $387.29 | +$153.67 | +39.68% |
| 13 | 2025-11-06 | $569.78 | $408.42 | +$161.36 | +39.51% |
| 14 | 2025-11-10 | $570.85 | $412.19 | +$158.66 | +38.49% |
| 15 | 2025-10-15 | $534.05 | $385.90 | +$148.15 | +38.39% |
| 16 | 2025-12-11 | $625.61 | $452.06 | +$173.55 | +38.39% |
| 17 | 2025-11-12 | $573.02 | $415.97 | +$157.05 | +37.76% |
| 18 | 2025-11-07 | $563.10 | $410.25 | +$152.85 | +37.26% |
| 19 | 2025-10-14 | $527.47 | $384.60 | +$142.87 | +37.15% |
| 20 | 2025-11-11 | $567.93 | $414.15 | +$153.78 | +37.13% |

## Complete Data Sorted by Distance (Ascending)

| Rank | Date | Price | 150-Day SMA | Distance ($) | Distance (%) |
|------|------|-------|-------------|--------------|--------------|
| 1 | 2025-04-08 | $273.94 | $367.61 | -$93.67 | -25.48% |
| 2 | 2025-04-07 | $280.06 | $368.16 | -$88.10 | -23.93% |
| 3 | 2025-04-21 | $284.74 | $365.35 | -$80.61 | -22.06% |
| 4 | 2025-04-04 | $288.08 | $368.63 | -$80.55 | -21.85% |
| 5 | 2025-04-10 | $289.16 | $367.03 | -$77.87 | -21.22% |
| 6 | 2025-04-16 | $290.14 | $365.99 | -$75.85 | -20.72% |
| 7 | 2025-04-22 | $291.17 | $364.99 | -$73.82 | -20.23% |
| 8 | 2025-04-11 | $293.45 | $366.76 | -$73.31 | -19.99% |
| 9 | 2025-04-15 | $293.43 | $366.28 | -$72.85 | -19.89% |
| 10 | 2025-04-17 | $294.25 | $365.72 | -$71.47 | -19.54% |
| 11 | 2025-04-23 | $295.77 | $364.64 | -$68.87 | -18.89% |
| 12 | 2025-04-14 | $298.12 | $366.55 | -$68.43 | -18.67% |
| 13 | 2025-04-09 | $301.01 | $367.35 | -$66.34 | -18.06% |
